bath,balcony,price,total_sqft_float,bhk,price_per_sqft
3.0,1.0,95.0,600.0,4,15833.333333333334
4.0,2.0,100.0,600.0,3,16666.666666666668
4.0,1.0,225.0,1200.0,4,18750.0
4.0,3.0,240.0,1200.0,5,20000.0
4.0,3.0,240.0,1200.0,5,20000.0
4.0,2.0,240.0,1200.0,5,20000.0
4.0,3.0,240.0,1200.0,5,20000.0
3.0,2.0,230.0,1500.0,4,15333.333333333334
3.0,1.0,84.0,600.0,4,14000.0
4.0,2.0,233.0,1500.0,6,15533.333333333334
4.0,2.0,240.0,1200.0,5,20000.0
3.0,1.0,205.0,1200.0,3,17083.333333333332
2.0,1.0,550.0,1700.0,4,32352.941176470587
4.0,1.0,175.0,1200.0,4,14583.333333333334
3.0,1.0,133.0,1626.6,3,8176.564613303824
5.0,2.0,190.0,1200.0,5,15833.333333333334
2.0,1.0,80.0,1056.0,2,7575.757575757576
3.0,1.0,210.0,1200.0,4,17500.0
2.0,1.0,200.0,1200.0,2,16666.666666666668
2.0,3.0,90.0,1320.0,2,6818.181818181818
2.0,3.0,95.0,1300.0,2,7307.692307692308
3.0,2.0,140.0,1650.0,3,8484.848484848484
2.0,1.0,130.0,1000.0,2,13000.0
2.0,2.0,140.0,1350.0,3,10370.37037037037
3.0,3.0,170.0,1750.0,3,9714.285714285714
2.0,1.0,63.0,1145.0,2,5502.183406113537
2.0,2.0,79.0,1550.0,3,5096.774193548387
3.0,1.0,65.0,1300.0,2,5000.0
5.0,2.0,138.0,1200.0,5,11500.0
2.0,1.0,70.0,900.0,2,7777.777777777777
2.0,0.0,190.0,1567.2,3,12123.532414497193
2.0,2.0,150.0,1225.0,2,12244.897959183674
3.0,3.0,140.0,1800.0,3,7777.777777777777
2.0,2.0,97.0,1269.0,2,7643.81402679275
2.0,2.0,38.9,1070.0,2,3635.5140186915887
2.0,2.0,38.0,1080.0,2,3518.5185185185187
4.0,1.0,120.0,1550.0,4,7741.935483870968
6.0,2.0,250.0,1200.0,6,20833.333333333332
2.0,2.0,56.0,1206.0,2,4643.449419568822
2.0,2.0,70.0,1270.0,3,5511.811023622047
6.0,1.0,220.0,1200.0,5,18333.333333333332
4.0,2.0,205.0,1200.0,4,17083.333333333332
2.0,3.0,69.0,1312.0,2,5259.1463414634145
2.0,2.0,48.0,1100.0,2,4363.636363636364
5.0,1.5843757375501535,205.0,1200.0,5,17083.333333333332
5.0,1.5843757375501535,205.0,1200.0,5,17083.333333333332
1.0,1.0,300.0,1500.0,1,20000.0
2.0,2.0,60.0,1075.0,2,5581.395348837209
3.0,3.0,52.5,1150.0,2,4565.217391304348
2.0,1.0,62.8,1256.0,2,5000.0
6.0,3.0,165.0,812.0,9,20320.197044334975
2.0,2.0,63.0,1207.0,2,5219.552609776305
2.0,2.0,100.0,1725.0,3,5797.101449275362
1.0,1.0,30.0,600.0,1,5000.0
2.0,2.0,65.0,1390.0,2,4676.258992805755
2.0,1.0,62.8,1256.0,2,5000.0
2.0,0.0,48.0,1000.0,2,4800.0
2.0,1.0,75.0,1350.0,3,5555.555555555556
1.0,1.0,23.5,552.0,1,4257.246376811594
3.0,2.0,60.0,1240.0,3,4838.709677419355
3.0,3.0,75.0,1550.0,3,4838.709677419355
2.0,2.0,57.0,1030.0,2,5533.980582524272
2.0,1.0,68.0,1200.0,2,5666.666666666667
2.0,2.0,61.8,1190.0,2,5193.27731092437
2.0,1.0,53.0,1080.0,2,4907.407407407408
2.0,2.0,54.0,1041.0,2,5187.319884726225
2.0,1.0,42.0,812.0,2,5172.413793103448
2.0,2.0,57.0,1010.0,2,5643.564356435643
2.0,2.0,73.0,1450.0,3,5034.482758620689
7.0,3.0,250.0,1200.0,8,20833.333333333332
2.0,2.0,60.0,1075.0,2,5581.395348837209
4.0,2.0,130.0,1000.0,4,13000.0
5.0,1.5843757375501535,325.0,1200.0,4,27083.333333333332
2.0,2.0,74.0,1192.0,2,6208.053691275168
2.0,3.0,80.0,1180.0,2,6779.661016949152
3.0,3.0,100.0,1645.0,3,6079.0273556231
2.0,2.0,65.0,1140.0,2,5701.754385964912
6.0,2.0,135.0,1650.0,8,8181.818181818182
1.0,1.0,75.0,600.0,1,12500.0
2.0,1.0,63.0,1213.0,2,5193.734542456719
4.0,3.0,125.0,600.0,4,20833.333333333332
2.0,1.5843757375501535,58.0,1350.0,3,4296.2962962962965
2.0,2.0,60.0,1216.0,2,4934.210526315789
2.0,1.5843757375501535,80.0,1460.0,2,5479.45205479452
3.0,3.0,48.9,1250.0,3,3912.0
3.0,3.0,131.0,1810.0,3,7237.5690607734805
1.0,1.0,105.0,750.0,1,14000.0
2.0,2.0,135.0,1515.0,3,8910.89108910891
2.0,3.0,75.0,1192.0,2,6291.946308724832
2.0,1.0,88.0,1280.0,2,6875.0
2.0,3.0,89.6,1450.0,3,6179.310344827586
2.0,1.0,110.0,1117.0,2,9847.806624888093
5.0,2.0,300.0,1200.0,5,25000.0
3.0,2.0,171.0,1707.0,3,10017.574692442882
2.0,1.0,293.0,1903.0,3,15396.741986337362
5.0,3.0,130.0,600.0,6,21666.666666666668
2.0,1.0,38.0,1000.0,2,3800.0
2.0,2.0,72.0,1080.0,2,6666.666666666667
2.0,2.0,93.0,1270.0,2,7322.834645669292
2.0,1.0,100.0,1420.0,3,7042.2535211267605
2.0,1.0,94.0,1245.0,2,7550.2008032128515
2.0,1.0,82.0,1175.0,2,6978.723404255319
8.0,1.5843757375501535,250.0,1200.0,8,20833.333333333332
2.0,1.0,95.0,1400.0,3,6785.714285714285
2.0,1.0,71.0,1050.0,2,6761.9047619047615
2.0,0.0,46.0,1100.0,2,4181.818181818182
2.0,1.0,50.49,918.0,2,5500.0
2.0,1.0,100.0,1450.0,3,6896.551724137931
2.0,1.0,39.52,1040.0,2,3800.0000000000005
2.0,1.0,42.79,1070.0,2,3999.0654205607475
2.0,1.0,49.98,1190.0,2,4200.0
2.0,2.0,96.0,1420.0,3,6760.56338028169
3.0,2.0,120.0,1680.0,3,7142.857142857143
2.0,1.0,42.0,1050.0,2,4000.0
2.0,2.0,69.0,980.0,2,7040.816326530612
2.0,1.0,41.39,1035.0,2,3999.0338164251207
2.0,1.0,56.17,1370.0,2,4100.0
2.0,2.0,72.0,1180.0,2,6101.6949152542375
2.0,1.0,57.0,1050.0,3,5428.571428571428
2.0,1.0,42.99,1075.0,2,3999.0697674418607
2.0,2.0,44.0,1100.0,2,4000.0
2.0,1.0,83.0,1270.0,2,6535.433070866142
2.0,1.0,39.33,1035.0,2,3800.0
3.0,2.0,65.0,1250.0,3,5200.0
2.0,1.0,42.0,1050.0,2,4000.0
5.0,3.0,220.0,1500.0,4,14666.666666666666
2.0,2.0,110.0,1575.0,3,6984.126984126984
3.0,2.0,140.0,1850.0,3,7567.5675675675675
2.0,2.0,120.0,1575.0,3,7619.047619047619
6.0,3.0,160.0,1045.0,6,15311.004784688996
3.0,2.0,120.0,1680.0,3,7142.857142857143
2.0,2.0,82.5,1175.0,2,7021.276595744681
2.0,2.0,90.0,1215.0,2,7407.407407407408
2.0,1.0,75.0,1050.0,2,7142.857142857143
3.0,2.0,89.13,1300.0,3,6856.153846153846
2.0,2.0,73.0,1130.0,2,6460.1769911504425
3.0,2.0,100.0,1450.0,3,6896.551724137931
2.0,1.0,50.0,1050.0,2,4761.9047619047615
2.0,1.0,87.0,1275.0,2,6823.529411764706
3.0,2.0,110.0,1650.0,3,6666.666666666667
2.0,2.0,42.0,850.0,2,4941.176470588235
3.0,2.0,117.0,1680.0,3,6964.285714285715
2.0,2.0,61.33,1236.0,2,4961.974110032363
2.0,2.0,53.0,1000.0,2,5300.0
3.0,2.0,125.0,1680.0,3,7440.476190476191
2.0,1.0,39.33,1035.0,2,3800.0
2.0,1.0,59.0,1187.0,2,4970.513900589722
2.0,1.0,61.0,1000.0,2,6100.0
2.0,2.0,100.0,1460.0,3,6849.315068493151
3.0,3.0,110.0,1650.0,3,6666.666666666667
2.0,2.0,62.5,1200.0,2,5208.333333333333
2.0,1.0,70.65,1000.0,2,7065.000000000001
2.0,2.0,42.0,1070.0,2,3925.233644859813
2.0,2.0,75.0,1080.0,2,6944.444444444444
3.0,3.0,125.0,1680.0,3,7440.476190476191
2.0,1.0,41.59,1040.0,2,3999.038461538462
6.0,3.0,270.0,1800.0,5,15000.0
2.0,1.0,44.0,1100.0,2,4000.0
2.0,1.0,97.0,1460.0,3,6643.835616438356
2.0,2.0,65.0,1120.0,2,5803.571428571428
3.0,1.0,60.0,1100.0,2,5454.545454545455
3.0,3.0,120.0,1790.0,3,6703.91061452514
3.0,2.0,117.0,1680.0,3,6964.285714285715
2.0,1.0,77.0,1050.0,2,7333.333333333333
2.0,1.0,47.0,1174.0,2,4003.4071550255535
2.0,1.0,75.0,1050.0,2,7142.857142857143
2.0,1.0,75.0,1040.0,2,7211.538461538462
2.0,1.0,95.0,1400.0,3,6785.714285714285
3.0,2.0,130.0,1800.0,3,7222.222222222223
2.0,0.0,68.0,1050.0,2,6476.190476190476
2.0,2.0,60.0,1000.0,2,6000.0
3.0,2.0,125.0,1680.0,3,7440.476190476191
2.0,1.0,77.47,1050.0,2,7378.0952380952385
2.0,1.0,80.0,1270.0,2,6299.212598425197
3.0,2.0,122.0,1680.0,3,7261.9047619047615
6.0,2.0,80.0,650.0,6,12307.692307692309
2.0,1.0,42.79,1070.0,2,3999.0654205607475
2.0,2.0,85.0,1130.0,2,7522.123893805309
3.0,3.0,130.0,1680.0,3,7738.0952380952385
3.0,2.0,112.0,1680.0,3,6666.666666666667
2.0,1.0,76.0,1515.0,3,5016.501650165016
3.0,1.0,145.0,1976.0,3,7338.056680161943
2.0,2.0,110.0,1600.0,3,6875.0
3.0,2.0,118.0,1765.0,3,6685.552407932011
2.0,2.0,88.0,1275.0,3,6901.9607843137255
2.0,1.0,102.0,1450.0,3,7034.482758620689
2.0,1.0,39.33,1035.0,2,3800.0
2.0,2.0,110.0,1575.0,3,6984.126984126984
2.0,1.0,57.0,1075.0,3,5302.325581395349
1.0,2.0,47.0,750.0,1,6266.666666666667
2.0,1.0,42.0,1050.0,2,4000.0
2.0,2.0,50.0,990.0,2,5050.50505050505
1.0,1.0,60.0,1000.0,1,6000.0
2.0,3.0,92.0,1680.0,3,5476.190476190476
2.0,1.0,44.0,1100.0,2,4000.0
2.0,1.0,102.0,1430.0,3,7132.867132867133
2.0,1.0,60.0,1128.0,2,5319.148936170212
2.0,1.0,57.0,1140.0,2,5000.0
3.0,2.0,90.0,1420.0,3,6338.028169014085
2.0,1.0,108.0,1530.0,2,7058.823529411765
2.0,2.0,110.0,1100.0,2,10000.0
6.0,1.0,300.0,1500.0,6,20000.0
4.0,2.0,90.0,660.0,4,13636.363636363636
3.0,2.0,43.5,1240.0,3,3508.064516129032
2.0,1.0,42.47,1062.0,2,3999.0583804143125
4.0,2.0,145.0,1200.0,4,12083.333333333334
2.0,2.0,43.5,1230.0,3,3536.5853658536585
3.0,2.0,73.31,1455.0,3,5038.487972508591
2.0,1.0,43.91,1098.0,2,3999.089253187614
3.0,1.0,80.0,1800.0,3,4444.444444444444
2.0,2.0,38.0,1080.0,2,3518.5185185185187
2.0,2.0,34.5,1059.0,2,3257.790368271955
2.0,2.0,35.0,1080.0,2,3240.740740740741
2.0,2.0,41.5,1275.0,3,3254.901960784314
2.0,1.0,42.47,1062.0,2,3999.0583804143125
8.0,1.5843757375501535,225.0,1200.0,9,18750.0
2.0,2.0,35.0,1100.0,2,3181.818181818182
2.0,1.0,39.33,1035.0,2,3800.0
2.0,1.0,40.9,909.0,2,4499.4499449945
4.0,1.0,90.0,1900.0,3,4736.8421052631575
4.0,1.0,140.0,1200.0,4,11666.666666666666
2.0,2.0,36.94,1125.0,2,3283.5555555555557
2.0,3.0,35.0,1100.0,2,3181.818181818182
2.0,1.0,43.55,1089.0,2,3999.0817263544536
2.0,2.0,65.0,1605.0,3,4049.8442367601247
2.0,2.0,83.0,1504.0,3,5518.617021276596
2.0,1.0,54.71,1368.0,3,3999.2690058479534
2.0,1.0,43.55,1089.0,2,3999.0817263544536
4.0,0.0,230.0,1800.0,4,12777.777777777777
6.0,1.0,260.0,1200.0,6,21666.666666666668
2.0,2.0,48.95,1224.0,3,3999.1830065359477
2.0,3.0,62.0,1513.0,2,4097.818902842036
2.0,1.0,59.0,1298.0,2,4545.454545454545
2.0,0.0,44.0,1006.0,2,4373.75745526839
2.0,1.0,59.0,1245.0,2,4738.955823293173
2.0,3.0,80.0,1510.0,2,5298.013245033113
5.0,2.0,75.0,1730.0,5,4335.260115606937
2.0,2.0,51.83,1296.0,3,3999.2283950617284
3.0,2.0,45.0,1275.0,3,3529.4117647058824
2.0,1.0,48.0,1046.0,2,4588.910133843212
2.0,3.0,50.75,1269.0,3,3999.211977935382
3.0,2.0,80.0,1408.0,3,5681.818181818182
5.0,2.0,99.0,600.0,4,16500.0
2.0,3.0,55.0,1500.0,3,3666.6666666666665
3.0,2.0,300.0,1846.0,3,16251.354279523293
1.0,0.0,233.0,1410.0,2,16524.822695035462
2.0,1.0,135.0,1165.0,2,11587.982832618025
3.0,1.0,300.0,1650.0,4,18181.81818181818
2.0,2.0,100.0,1209.0,2,8271.298593879239
2.0,1.0,85.0,600.0,3,14166.666666666666
1.0,0.0,150.0,700.0,1,21428.571428571428
8.0,3.0,270.0,1200.0,9,22500.0
5.0,1.0,280.0,1200.0,6,23333.333333333332
5.0,2.0,200.0,1000.0,4,20000.0
4.0,1.0,240.0,1440.0,4,16666.666666666668
2.0,1.0,50.0,1005.0,2,4975.124378109453
6.0,2.0,195.0,1200.0,7,16250.0
2.0,2.0,85.0,1890.0,3,4497.354497354498
2.0,1.0,45.0,1035.0,2,4347.826086956522
2.0,1.0,56.0,1164.0,2,4810.996563573884
2.0,1.0,42.0,1005.0,2,4179.104477611941
3.0,2.0,188.0,1200.0,4,15666.666666666666
2.0,1.0,50.0,1127.0,2,4436.557231588287
2.0,1.0,43.0,1005.0,2,4278.606965174129
2.0,0.0,37.0,835.0,2,4431.137724550898
2.0,0.0,27.0,660.0,2,4090.909090909091
1.0,0.0,20.0,600.0,1,3333.3333333333335
2.0,2.0,71.0,1466.0,2,4843.110504774898
2.0,1.5843757375501535,93.0,1890.0,3,4920.6349206349205
2.0,1.0,80.0,1480.0,2,5405.405405405405
5.0,1.5843757375501535,160.0,1200.0,5,13333.333333333334
2.0,1.0,52.36,1073.0,2,4879.77632805219
2.0,2.0,88.0,1719.3,3,5118.362124120282
3.0,2.0,88.0,1780.0,3,4943.820224719101
7.0,3.0,140.0,820.0,7,17073.170731707316
6.0,2.0,75.0,600.0,6,12500.0
2.0,2.0,58.0,1300.0,3,4461.538461538462
3.0,2.0,90.0,1522.0,3,5913.272010512484
3.0,2.0,65.0,1571.0,3,4137.492043284532
4.0,2.0,80.0,1900.0,4,4210.526315789473
2.0,2.0,45.0,890.0,2,5056.179775280899
2.0,2.0,39.89,1240.0,3,3216.935483870968
8.0,1.5843757375501535,135.0,1200.0,8,11250.0
2.0,2.0,42.85,1240.0,3,3455.6451612903224
8.0,1.5843757375501535,140.0,800.0,8,17500.0
2.0,2.0,69.0,1331.95,2,5180.374638687638
3.0,1.0,110.0,1150.0,4,9565.217391304348
4.0,3.0,320.0,1650.0,4,19393.939393939392
4.0,1.0,110.0,1150.0,4,9565.217391304348
2.0,1.0,35.0,600.0,1,5833.333333333333
2.0,0.0,85.0,1500.0,1,5666.666666666667
5.0,1.0,225.0,1200.0,5,18750.0
2.0,3.0,45.0,1100.0,2,4090.909090909091
3.0,2.0,98.0,1620.0,3,6049.382716049383
2.0,1.0,42.0,1028.0,2,4085.603112840467
2.0,2.0,65.0,1199.0,2,5421.184320266889
2.0,2.0,55.0,1080.0,2,5092.592592592592
3.0,3.0,65.0,1800.0,3,3611.1111111111113
2.0,1.0,60.0,1308.0,2,4587.155963302752
2.0,1.0,55.0,1005.0,2,5472.636815920398
2.0,2.0,85.0,1450.0,3,5862.068965517241
2.0,1.0,59.6,1490.0,3,4000.0
2.0,1.0,46.79,1040.0,2,4499.038461538462
3.0,0.0,110.0,1936.0,3,5681.818181818182
2.0,2.0,75.0,1080.0,3,6944.444444444444
2.0,1.0,48.38,1075.0,2,4500.46511627907
2.0,1.0,46.0,1150.0,2,4000.0
2.0,2.0,80.0,1650.0,3,4848.484848484848
4.0,2.0,80.0,1200.0,3,6666.666666666667
1.0,1.0,19.0,1000.0,1,1900.0
4.0,1.0,110.0,1200.0,4,9166.666666666666
2.0,3.0,41.94,1180.0,2,3554.237288135593
2.0,3.0,50.0,1310.0,3,3816.793893129771
2.0,1.0,38.45,1100.0,2,3495.454545454546
2.0,2.0,50.0,1200.0,2,4166.666666666667
2.0,1.0,38.49,1100.0,2,3499.090909090909
2.0,2.0,41.0,1190.0,2,3445.378151260504
2.0,2.0,38.5,1100.0,2,3500.0
2.0,1.0,40.39,985.0,2,4100.507614213198
2.0,2.0,30.0,765.0,1,3921.5686274509803
2.0,1.0,32.54,795.0,2,4093.0817610062895
1.0,0.0,19.82,734.0,1,2700.272479564033
4.0,1.0,98.0,1200.0,5,8166.666666666667
2.0,1.0,45.0,1260.0,3,3571.4285714285716
2.0,1.0,41.82,1020.0,2,4100.0
3.0,2.0,120.0,1200.0,4,10000.0
2.0,1.0,34.8,1326.0,3,2624.434389140271
2.0,1.0,35.0,1326.0,3,2639.517345399698
2.0,1.0,40.39,985.0,2,4100.507614213198
2.0,1.0,32.54,795.0,2,4093.0817610062895
2.0,1.0,46.33,1130.0,2,4100.0
1.0,1.0,32.6,795.0,2,4100.62893081761
6.0,1.0,95.0,1200.0,6,7916.666666666667
2.0,1.0,41.0,1000.0,2,4100.0
2.0,1.0,40.8,995.0,2,4100.5025125628135
2.0,1.0,40.8,1020.0,2,3999.9999999999995
1.0,1.0,185.0,1140.0,2,16228.070175438597
2.0,1.0,50.0,1270.0,2,3937.0078740157483
3.0,2.0,55.0,1495.0,3,3678.9297658862874
1.0,0.0,41.0,1260.0,1,3253.968253968254
1.0,1.0,41.0,1260.0,1,3253.968253968254
5.0,3.0,120.0,875.0,5,13714.285714285714
2.0,1.0,65.0,1201.0,2,5412.156536219817
3.0,2.0,120.0,1925.0,3,6233.766233766234
1.0,0.0,72.0,800.0,1,9000.0
1.0,0.0,65.0,1200.0,1,5416.666666666667
1.0,0.0,120.0,1350.0,3,8888.888888888889
2.0,1.0,58.5,1100.0,2,5318.181818181818
2.0,0.0,51.0,1053.0,2,4843.304843304843
2.0,1.0,47.8,967.0,2,4943.1230610134435
2.0,1.0,54.0,1070.0,2,5046.728971962617
2.0,1.5843757375501535,58.0,1280.0,2,4531.25
3.0,3.0,85.1,1662.0,3,5120.336943441636
2.0,2.0,75.0,1410.0,3,5319.148936170212
2.0,2.0,85.0,1360.0,3,6250.0
2.0,2.0,80.0,1410.0,3,5673.758865248227
3.0,2.0,85.0,1662.0,3,5114.320096269555
4.0,1.0,75.0,1080.0,4,6944.444444444444
3.0,2.0,85.5,1662.0,3,5144.404332129964
2.0,1.0,60.0,1280.0,2,4687.5
3.0,1.5843757375501535,95.0,1666.0,3,5702.280912364946
4.0,2.0,160.0,1410.0,4,11347.517730496455
3.0,1.5843757375501535,90.0,1575.0,3,5714.285714285715
2.0,2.0,75.0,1430.0,3,5244.755244755244
2.0,3.0,73.0,1419.0,3,5144.46793516561
4.0,2.0,62.0,750.0,4,8266.666666666666
2.0,1.0,60.0,1280.0,2,4687.5
2.0,1.0,50.0,1200.0,2,4166.666666666667
3.0,2.0,85.0,1690.0,3,5029.585798816568
3.0,1.0,80.0,1700.0,3,4705.882352941177
4.0,2.0,93.0,1897.0,3,4902.477596204533
3.0,3.0,98.0,1884.0,3,5201.698513800425
3.0,2.0,85.0,1690.0,3,5029.585798816568
2.0,1.0,55.0,1126.0,2,4884.547069271758
3.0,1.5843757375501535,90.0,1662.0,3,5415.162454873646
2.0,2.0,75.0,1420.0,3,5281.69014084507
2.0,3.0,88.0,1412.0,3,6232.294617563739
3.0,3.0,84.0,1434.0,3,5857.740585774059
4.0,2.0,100.0,1890.0,3,5291.005291005291
2.0,3.0,87.0,1419.0,3,6131.0782241014795
2.0,1.0,54.0,1300.0,2,4153.846153846154
3.0,2.0,85.0,1690.0,3,5029.585798816568
2.0,1.0,52.0,1113.0,2,4672.057502246182
4.0,2.0,95.0,1820.0,3,5219.780219780219
2.0,2.0,48.0,1100.0,2,4363.636363636364
3.0,2.0,102.0,1896.0,3,5379.7468354430375
2.0,2.0,66.0,1300.0,2,5076.923076923077
2.0,1.0,51.0,1179.0,2,4325.699745547074
2.0,2.0,73.0,1421.0,3,5137.227304714989
4.0,2.0,95.0,1893.0,3,5018.489170628632
2.0,1.0,45.0,900.0,2,5000.0
4.0,2.0,125.0,1200.0,4,10416.666666666666
4.0,3.0,165.0,1200.0,4,13750.0
2.0,1.0,49.0,1300.0,3,3769.230769230769
2.0,2.0,49.0,1280.0,3,3828.125
2.0,1.0,55.0,1141.0,2,4820.333041191937
2.0,1.0,49.0,1260.0,3,3888.8888888888887
2.0,2.0,52.0,1427.0,2,3644.008409250175
4.0,2.0,165.0,1200.0,4,13750.0
3.0,2.0,108.0,1693.0,3,6379.208505611341
2.0,1.0,76.0,1210.0,2,6280.99173553719
3.0,2.0,67.23,1519.0,3,4425.938117182357
3.0,2.0,70.39,1595.0,3,4413.166144200627
2.0,1.0,50.0,1230.0,2,4065.040650406504
1.0,1.0,40.0,595.0,1,6722.689075630252
2.0,2.0,44.0,1145.0,2,3842.7947598253277
2.0,2.0,60.0,1205.0,2,4979.253112033195
2.0,2.0,75.0,1410.0,2,5319.148936170212
2.0,2.0,48.27,1175.0,2,4108.085106382979
2.0,1.0,75.0,1380.0,2,5434.782608695652
2.0,1.0,76.0,1200.0,2,6333.333333333333
2.0,1.0,58.0,1320.0,3,4393.939393939394
2.0,1.0,43.0,975.0,2,4410.25641025641
2.0,1.5843757375501535,43.79,1240.0,2,3531.451612903226
2.0,2.0,38.0,1050.0,2,3619.0476190476193
